what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937231775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937251896
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1396937252873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937263313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937263326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937268700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937268721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937345664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937345685
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937353152
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937354651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937354669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937356878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937362921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937362933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937364024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937365182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937365196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937365708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937392295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937392308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937393948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937395133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937395153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937396366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937398308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937398321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937400037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937401625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937401640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937402248
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937406615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937406633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937407646
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1396937407867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937408930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1396937408949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937410067
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937411882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937412448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937439229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937440823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937441934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937459696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937460220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937460740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937462069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1396937466475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937467342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1396937468384
